Tw_us,amp,stable,complex_pair,fn_Hz,zeta
2,-0.1,True,True,477356.72611243837,0.7980813987597266
2,-0.05,True,True,474968.71882252436,0.8265312107273359
2,-0.025,True,True,420788.1204182148,0.8027662466706313
2,0.025,True,True,401651.1852759952,0.7887046379578775
2,0.05,True,True,439313.8827387362,0.8068413332859717
2,0.1,True,True,467421.41004603385,0.7904152880778399
3,-0.1,True,True,462433.6128909177,0.80277077471526
3,-0.05,True,True,483483.9194161685,0.8012703673058722
3,-0.025,True,True,421017.85705773224,0.7894451515490676
3,0.025,True,True,357646.2345161508,0.8075407737901483
3,0.05,True,True,451920.5490272663,0.8014392878962631
3,0.1,True,True,466985.5722177561,0.7857185701813377
5,-0.1,True,True,468792.27765114274,0.7968031270458404
5,-0.05,True,True,454946.37860401394,0.800970527165768
5,-0.025,True,True,422927.29972908366,0.7939258354302619
5,0.025,True,True,382729.6699225061,0.7580782414791281
5,0.05,True,True,456196.92925800383,0.7999281351657783
5,0.1,True,True,465889.52726342325,0.7848224169484087
10,-0.1,True,True,461976.2205383259,0.8007714451120383
10,-0.05,True,True,453652.3715230326,0.8003883940071009
10,-0.025,True,True,405463.08231589326,0.7325246573871411
10,0.025,True,True,364535.0812737094,0.7544054147419581
10,0.05,True,True,441512.2068740296,0.8119586718520677
10,0.1,True,True,461910.69309431146,0.7799891939282088
