amp,output,K2z,wn2z_rad_s,fn2z_Hz,zeta2z,tau_z_s,tau_z_us,zero_rad_s,abs_zero_over_wn,test_nrmse_2z,AICc_2z,BIC_2z,train_rss_2z,optimizer_success
-0.1,r,0.41923369454708503,2909226.2929166043,463017.7450905878,0.8253207719977657,7.457121890560909e-07,0.7457121890560909,-1340999.9389520267,0.46094727736274715,0.5791391219135856,-28230.733708218562,-28208.348138960388,0.0014871133617441019,True
-0.05,r,0.405549333644673,2774939.1989796287,441645.29029707244,0.9119111150886485,9.161829149880138e-07,0.9161829149880139,-1091485.0993625904,0.39333658184796977,0.47015505862107276,-28501.494350869973,-28479.108781611798,0.0012989084199505313,True
-0.025,r,0.41525584270542315,3086696.431328027,491262.99486996856,0.6837430000171505,5.951231608070353e-07,0.5951231608070353,-1680324.4535869162,0.5443763230270007,1.084744928229162,-28162.743079051932,-28140.357509793757,0.0015385112455746175,True
0.025,r,0.33354617785657,2228814.866389286,354726.9032225571,0.797108098581832,1.2427063011578512e-06,1.2427063011578512,-804695.3645187785,0.36104181493656196,0.8836540622921497,-29037.948740493674,-29015.5631712355,0.0009934526146898352,True
0.05,r,0.3932477724289434,3229612.9735461953,514008.8690135916,0.6271606469626329,5.120045373410982e-07,0.5120045373410983,-1953107.6915707067,0.6047497664793394,0.7066191205988238,-28849.083298263024,-28826.69772900485,0.001091787886030979,True
0.1,r,0.4295449093365995,2887972.857581606,459635.1557993389,0.7951296612241175,7.024340739227193e-07,0.7024340739227194,-1423621.1441388852,0.4929482423636863,0.5636681664062413,-29097.747223958853,-29075.36165470068,0.0009642032049774738,True
-0.1,theta,-1.1875572114795,3041810.733853549,484119.214242778,0.7927136331218062,2.2861225190728652e-07,0.22861225190728654,-4374218.755369022,1.4380312051261315,0.2848660386000231,-26931.299271454398,-26908.913702196223,0.002846896409799654,True
-0.05,theta,-1.2326765453890014,2599532.9664279064,413728.5213373393,0.7962877267941627,3.3369527435884915e-07,0.33369527435884916,-2996746.0639691898,1.15280171579709,0.20296603868483318,-27871.450899559808,-27849.065330301633,0.0017795998368796923,True
-0.025,theta,-1.15747039493973,2943610.910186071,468490.22689534636,0.7682298887230655,1.9923939968002578e-07,0.1992393996800258,-5019087.598165717,1.7050784737879816,0.7038515204329779,-27086.06249076365,-27063.676921505474,0.0026350087000348854,True
0.025,theta,-1.1806299736749364,1686973.6675656112,268490.1980589308,0.8707177913849181,8.749210535540447e-07,0.8749210535540447,-1142960.265886697,0.6775211065007594,0.5956794106707626,-27852.59632441213,-27830.210755153956,0.0017964475016525859,True
0.05,theta,-1.2061164719395494,3114548.0144624705,495695.7119987501,0.8259399606787273,2.2472659378535093e-07,0.22472659378535093,-4449851.631512541,1.428731106680507,0.24282239818798598,-28240.298752963976,-28217.9131837058,0.0014800217261018928,True
0.1,theta,-1.1911411882095824,2737701.6402823785,435718.7487617305,0.7909282616928485,2.899650331031825e-07,0.2899650331031825,-3448691.6898154244,1.2597032631575262,0.1434280315091368,-28557.59218782339,-28535.206618565215,0.0012629993563572387,True
