source,amp,E_A_rel,E_B_rel,fn_rel_error,zeta_rel_error,held_out_amp
Case1B local,-0.1,0.032349786138019795,0.02296912231699121,0.027812987544028892,0.0001659532441267215,
Case1B local,-0.05,0.03490954231675486,0.05689504106468765,0.00914023392202246,0.0008015957164492442,
Case1B local,-0.025,0.13587304441300996,0.1679292315385686,0.09794753789003421,0.08549500745464791,
Case1B local,0.025,0.23832075580511963,0.08976086595975408,0.18955490989821136,0.057820215028961085,
Case1B local,0.05,0.03730528958465205,0.027070843856516313,0.01767101551207683,0.013826880098253015,
Case1B local,0.1,0.08110769413869694,0.028329463545250625,0.027837323039069703,0.026028047201682107,
Case1F LOPO,,0.13132752587952978,0.023773059014377408,0.10379731706221612,0.016371919492149185,-0.1
Case1F LOPO,,0.0857414670463987,0.01667889936256178,0.06035255351819962,0.004880854789596374,-0.05
Case1F LOPO,,0.08897005018594006,0.021683885444208066,0.05910633420154009,0.014003562026377899,-0.025
Case1F LOPO,,0.05016132997404282,0.008701329824385866,0.025756283743862074,0.008128481742548177,0.025
Case1F LOPO,,0.06949299008429444,0.00746018565256824,0.046694776544964026,0.0036763203324206442,0.05
Case1F LOPO,,0.11629475725391157,0.026633260324739262,0.07614946118271355,0.022927238409038913,0.1
