model,identifier,output,comparison,mag_rms,complex_relative,phase_rms_deg,max_mag_error
exact surrogate,nominal,theta,actual vs canonical,0.15176951429546984,0.5194223969248825,43.336040488331456,0.18864558088407402
exact surrogate,nominal,r,actual vs canonical,0.7177250511118862,0.8663145552338729,65.13879856925764,0.8973736837354322
exact surrogate,nominal,theta,actual vs mechanical (zeta_m=0.78),0.14438417380775073,0.5188517486936157,43.715265720554086,0.18311539698689266
exact surrogate,nominal,r,actual vs mechanical (zeta_m=0.78),0.7093304322112433,0.8658803612859295,65.44532665914423,0.8858921940801766
Case1B local,-0.1,theta,actual vs mechanical (zeta_m=0.78),0.1453096246061548,0.5201810817533804,43.79449816610775,0.18421673455152127
Case1B local,-0.1,r,actual vs mechanical (zeta_m=0.78),0.6945969710399672,0.8624591908990304,65.17888723836556,0.8673746662080465
Case1B local,-0.05,theta,actual vs mechanical (zeta_m=0.78),0.14912624338690195,0.5256219575731996,44.11886872454803,0.18876980700482537
Case1B local,-0.05,r,actual vs mechanical (zeta_m=0.78),0.7787382150996325,0.8802347639602403,66.57516604626548,0.9735047904268246
Case1B local,-0.025,theta,actual vs mechanical (zeta_m=0.78),0.15313205914775072,0.48758226275980004,39.779326658331556,0.18959025756807524
Case1B local,-0.025,r,actual vs mechanical (zeta_m=0.78),0.8473997634658053,0.883166412338358,65.38745549136424,1.0857128433809753
Case1B local,0.025,theta,actual vs mechanical (zeta_m=0.78),0.245312701229436,0.6200564031768014,48.63121677710479,0.3048613949926069
Case1B local,0.025,r,actual vs mechanical (zeta_m=0.78),1.1095661455796333,0.9210370067720115,69.38394247117114,1.4140397398319193
Case1B local,0.05,theta,actual vs mechanical (zeta_m=0.78),0.15288831313110793,0.5379111782021309,45.164735877758474,0.19542488631573912
Case1B local,0.05,r,actual vs mechanical (zeta_m=0.78),0.7496551576671836,0.8762221293971292,66.48357046948428,0.9340325125979333
Case1B local,0.1,theta,actual vs mechanical (zeta_m=0.78),0.1416728604812436,0.5016643777571975,42.09322921615334,0.17629689888987488
Case1B local,0.1,r,actual vs mechanical (zeta_m=0.78),0.6711120887784909,0.8531135651233415,64.03660899364225,0.8424758849115415
Case1F LOPO,-0.1,theta,actual vs mechanical (zeta_m=0.78),0.17592943606013148,0.570420072884332,47.18729016083901,0.22362130403830072
Case1F LOPO,-0.1,r,actual vs mechanical (zeta_m=0.78),0.778341711535556,0.8821096867630053,67.00167211067642,0.9695125154417654
Case1F LOPO,-0.05,theta,actual vs mechanical (zeta_m=0.78),0.16818422322700116,0.555260705658715,46.04792506413224,0.21272489363292008
Case1F LOPO,-0.05,r,actual vs mechanical (zeta_m=0.78),0.7432065254207089,0.8738308412614736,66.14938002660026,0.9276089987047114
Case1F LOPO,-0.025,theta,actual vs mechanical (zeta_m=0.78),0.16590106613733005,0.5561667727517919,46.28094591147766,0.21117517218998094
Case1F LOPO,-0.025,r,actual vs mechanical (zeta_m=0.78),0.7455890684664189,0.8754173727986636,66.42189109135519,0.9289034482694102
Case1F LOPO,0.025,theta,actual vs mechanical (zeta_m=0.78),0.15316205046960973,0.5357108585228944,44.91854918676945,0.19493573570884387
Case1F LOPO,0.025,r,actual vs mechanical (zeta_m=0.78),0.7224513212340686,0.8698264704360255,65.88501753734873,0.9009298868185515
Case1F LOPO,0.05,theta,actual vs mechanical (zeta_m=0.78),0.16135681936370372,0.5453439123665098,45.42037935329479,0.20426382975635066
Case1F LOPO,0.05,r,actual vs mechanical (zeta_m=0.78),0.7366480301396616,0.8723132196967454,66.00933364436024,0.9195890740719639
Case1F LOPO,0.1,theta,actual vs mechanical (zeta_m=0.78),0.1692628721149892,0.5644912700483269,46.95450873537333,0.21645862377215447
Case1F LOPO,0.1,r,actual vs mechanical (zeta_m=0.78),0.7750143517744758,0.8822182159677494,67.1130532159427,0.9641109564538073
